Name;Gamelan Relation;Type;Composition_Date_Start;Composition_Date_End; Metadata Link;Piece Filename;Notes;Composition type
Children’s Corner;Post-Gamelan;Collection;1906;1908;https://github.com/DCMLab/debussy_childrens_corner/blob/f4bf168540a369a360550c9136fe2954cc8402d5/metadata.tsv;;;Piano
Arabesques Premiere;Pre-Gamelan;Collection Subselection;1888;1888;https://github.com/DCMLab/debussy_deux_arabesques/blob/acf40ce6ec0da1175c767bfaef4b5fde63f3d7e4/metadata.tsv;l066-01_arabesques_premiere;;Piano
Arabesques Deuxieme;Post-Gamelan;Collection Subselection;1891;1891;https://github.com/DCMLab/debussy_deux_arabesques/blob/acf40ce6ec0da1175c767bfaef4b5fde63f3d7e4/metadata.tsv;l066-02_arabesques_deuxieme;;Piano
Estampes;Post-Gamelan;Collection;1903;1903;https://github.com/DCMLab/debussy_estampes/blob/7fff184fb6a24eaeb9923c69fe5ae058db92f29a/metadata.tsv;;;Piano
Etudes;Post-Gamelan;Collection;1915;1915;https://github.com/DCMLab/debussy_etudes/blob/02e6b0610351a3687a652eb18195111f2fed57ca/metadata.tsv;;;Piano
Images;Post-Gamelan;Collection;1894;1904;https://github.com/DCMLab/debussy_images/blob/e9be32a9a7471142cdcaddcda625a400388d8df6/metadata.tsv;;;Piano
Etude Retrouve;Post-Gamelan;Individual Piece;1915;1915;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;I000_etude;;Piano
Soirs;Post-Gamelan;Individual Piece;1917;1917;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l000_soirs;Missing MP3 File!;Piano
Danse Bohemian;Pre-Gamelan;Individual Piece;1880;1880;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l009_danse;;Piano
Mazurka;Post-Gamelan;Individual Piece;1890;1890;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l067_mazurka;;Piano
Reverie;Post-Gamelan;Individual Piece;1890;1890;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l068_reverie;;Piano
Tarentelle;Post-Gamelan;Individual Piece;1890;1890;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l069_tarentelle;;Piano
Ballade;Post-Gamelan;Individual Piece;1890;1890;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l070_ballade;;Piano
Valse romantique;Post-Gamelan;Individual Piece;1890;1890;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l071_valse;;Piano
Nocturne;Post-Gamelan;Individual Piece;1892;1892;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l082_nocturne;;Piano
...D'un Cahier d'Esquisses;Post-Gamelan;Individual Piece;1903;1903;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l099_cahier;;Piano
Masques;Post-Gamelan;Individual Piece;1904;1904;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l105_masques;;Piano
Isle;Post-Gamelan;Individual Piece;1904;1904;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l106_isle;;Piano
Morceau;Post-Gamelan;Individual Piece;1904;1904;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l108_morceau;;Piano
Le petit nègre;Post-Gamelan;Individual Piece;1909;1909;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l114_petit;;Piano
Hommage à Haydn;Post-Gamelan;Individual Piece;1909;1909;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l115_hommage;;Piano
La plus que lente;Post-Gamelan;Individual Piece;1910;1910;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l121_plus;;Piano
Berceuse Héroïque;Post-Gamelan;Individual Piece;1914;1914;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l132_berceuse;;Piano
Page d'album;Post-Gamelan;Individual Piece;1915;1915;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l133_page;;Piano
Elégie;Post-Gamelan;Individual Piece;1915;1915;https://github.com/DCMLab/debussy_other_piano_pieces/blob/74224fd3979ddec4a4a818cca51a883f6d91ca94/metadata.tsv;l138_elegie;;Piano
Pour le piano;Post-Gamelan;Collection;1894;1901;https://github.com/DCMLab/debussy_pour_le_piano/blob/d288cbf3b5480a6b1f83ba279d6253fc5320de9b/metadata.tsv;;;Piano
Preludes;Post-Gamelan;Collection;1909;1912;https://github.com/DCMLab/debussy_preludes/blob/1d3d5d2fad9bc80029bce10aa8af486efe983b7f/metadata.tsv;;;Piano
Suite Bergamasque;Post-Gamelan;Collection;1890;1905;https://github.com/DCMLab/debussy_suite_bergamasque/blob/e97a68126516b2863411199f834b4ea9fa0fa3aa/metadata.tsv;;;Piano
Nocturnes;Post-Gamelan;Collection;1892;1899;;;dates from https://en.wikipedia.org/wiki/Nocturnes_(Debussy);Orchestral
La mer;Post-Gamelan;Collection;1903;1905;;;dates from https://en.wikipedia.org/wiki/La_mer_(Debussy);Orchestral
Madrid;Pre-Gamelan;Individual Piece;1879;1879;;l002_madrid;;Piano and singing
Nuit d'étoiles;Pre-Gamelan;Individual Piece;1880;1880;;l004_nuit_etoiles;;Piano and singing
Rêverie;Pre-Gamelan;Individual Piece;1880;1880;;l008_reverie;;Piano
Trio en sol;Pre-Gamelan;Individual Piece;1880;1880;;l003_trio;;Piano, Violin and Cello
Caprice;Pre-Gamelan;Individual Piece;1880;1880;;l005_caprice;;Piano and singing
Aimons-nous et dormons;Pre-Gamelan;Individual Piece;1880;1880;;l006_aimons;;Piano and singing
Symphonie en si mineur;Pre-Gamelan;Individual Piece;1880;1881;;l010_symphonie;;Two pianos
Les baisers;Pre-Gamelan;Individual Piece;1881;1881;;l009_baisers;;Piano and singing
